Time_Sec,Weighted_Value
115.633333,0.027820599999999997
115.666667,0.07611740000000003
115.7,0.10675900000000002
115.733333,0.10942240000000002
115.766667,0.08256120000000002
115.8,0.033899000000000006
115.833333,-0.0225364
115.866667,-0.07159460000000001
115.9,-0.10202820000000001
115.933333,-0.10944639999999999
115.966667,-0.09651280000000001
116.0,-0.0707386
116.033333,-0.0410208
116.066667,-0.014572600000000002
116.1,0.004549
116.133333,0.015363800000000002
116.166667,0.019150800000000006
116.2,0.018373399999999998
116.233333,0.015533800000000002
116.266667,0.012380399999999998
116.3,0.009855800000000001
116.333333,0.0084622
116.366667,0.008400799999999998
116.4,0.009443800000000002
116.433333,0.0109178
116.466667,0.011874000000000001
116.5,0.011244000000000002
116.533333,0.0081012
116.566667,0.0022204
116.6,-0.005453400000000001
116.633333,-0.013001200000000001
116.666667,-0.018304000000000004
116.7,-0.019826
116.733333,-0.017110999999999998
116.766667,-0.011002600000000001
116.8,-0.003381
116.833333,0.0037124000000000002
116.866667,0.009041
116.9,0.0124926
116.933333,0.0147068
116.966667,0.0164768
117.0,0.018189400000000005
117.033333,0.019382
117.066667,0.0188084
117.1,0.01527
117.133333,0.008648399999999999
117.166667,0.0002444
117.2,-0.0077412
117.233333,-0.013089
117.266667,-0.014408
117.3,-0.011743400000000001
117.333333,-0.0065718
117.366667,-0.000993
117.4,0.0033342000000000003
117.433333,0.005714800000000001
117.466667,0.0063214
117.5,0.0058756
117.533333,0.005263599999999999
117.566667,0.005020800000000001
117.6,0.005017
117.633333,0.004730600000000001
117.666667,0.0038338
117.7,0.0024462000000000004
117.733333,0.000962
117.766667,-0.00022540000000000003
117.8,-0.0010092
117.833333,-0.0019036
117.866667,-0.0040876
117.9,-0.008809199999999998
117.933333,-0.016510800000000003
117.966667,-0.02638
118.0,-0.036473
118.033333,-0.0441076
118.066667,-0.046465
118.1,-0.0415282
118.133333,-0.0290276
118.166667,-0.0108256
118.2,0.009386
118.233333,0.0269426
118.266667,0.0375998
118.3,0.0392884
118.333333,0.03325
118.366667,0.023556800000000003
118.4,0.015106800000000002
118.433333,0.011202199999999999
118.466667,0.0118312
118.5,0.013418399999999999
118.533333,0.0105338
118.566667,-0.0007962000000000001
118.6,-0.019877600000000002
118.633333,-0.040283200000000005
118.666667,-0.05169680000000001
118.7,-0.0438762
118.733333,-0.011275
118.766667,0.0433384
118.8,0.1080594
118.833333,0.16485080000000002
118.866667,0.1955528
118.9,0.1884546
118.933333,0.1426982
118.966667,0.0686018
119.0,-0.0165292
119.033333,-0.09536399999999999
119.066667,-0.1567122
119.1,-0.19763480000000003
119.133333,-0.22095460000000003
119.166667,-0.2303706
119.2,-0.22641180000000002
119.233333,-0.2055916
119.266667,-0.16324020000000003
119.3,-0.0982784
119.333333,-0.0168452
119.366667,0.06774140000000001
119.4,0.1390264
119.433333,0.1835584
119.466667,0.19606280000000004
119.5,0.1809138
119.533333,0.14902640000000003
119.566667,0.1120252
119.6,0.07705719999999999
119.633333,0.044959200000000005
119.666667,0.012361
119.7,-0.0236094
119.733333,-0.060780799999999996
119.766667,-0.09059880000000002
119.8,-0.1015138
119.833333,-0.08537600000000001
119.866667,-0.042804200000000014
119.9,0.0157476
119.933333,0.0734576
119.966667,0.1130334
120.0,0.12262360000000003
120.033333,0.09983780000000002
120.066667,0.0524026
120.1,-0.004981200000000001
120.133333,-0.056221600000000004
120.166667,-0.0892814
120.2,-0.0994158
120.233333,-0.0894714
120.266667,-0.06754500000000001
120.3,-0.0431626
120.333333,-0.023737000000000005
120.366667,-0.012754599999999998
120.4,-0.009825
120.433333,-0.011832800000000001
120.466667,-0.014552
120.5,-0.014347200000000001
120.533333,-0.0093798
120.566667,0.00012780000000000002
120.6,0.0123742
120.633333,0.024652200000000003
120.666667,0.0341132
120.7,0.038708200000000005
120.733333,0.0379202
120.766667,0.032761
120.8,0.025131200000000003
120.833333,0.017114799999999996
120.866667,0.0104104
120.9,0.005828
120.933333,0.0030702
120.966667,0.0010852000000000001
121.0,-0.0012894000000000002
121.033333,-0.004904200000000001
121.066667,-0.0101106
121.1,-0.016548
121.133333,-0.023046800000000003
121.166667,-0.0279668
121.2,-0.0298222
121.233333,-0.0277536
121.266667,-0.0217974
121.3,-0.0130642
121.333333,-0.0035762
121.366667,0.004548600000000001
121.4,0.0101446
121.433333,0.013526
121.466667,0.01621
121.5,0.0201076
121.533333,0.0264116
121.566667,0.034546799999999996
121.6,0.0419746
121.633333,0.0453304
121.666667,0.0422406
121.7,0.032522
121.733333,0.0181444
121.766667,0.0022706000000000002
121.8,-0.012112200000000002
121.833333,-0.023393600000000004
121.866667,-0.0316788
121.9,-0.037979
121.933333,-0.04295520000000001
121.966667,-0.04625459999999999
122.0,-0.0467158
122.033333,-0.043025
122.066667,-0.0344962
122.1,-0.0217888
122.133333,-0.0071218
122.166667,0.0063918
122.2,0.015955200000000003
122.233333,0.020102599999999998
122.266667,0.0191996
122.3,0.0154174
122.333333,0.012013
122.366667,0.0118606
122.4,0.0159826
122.433333,0.023032800000000003
122.466667,0.029929400000000005
122.5,0.033102400000000004
122.533333,0.029901000000000004
122.566667,0.0197634
122.6,0.004516
122.633333,-0.012582800000000002
122.666667,-0.0284428
122.7,-0.041297799999999996
122.733333,-0.05096439999999999
122.766667,-0.0583916
122.8,-0.0646856
122.833333,-0.0697858
122.866667,-0.0714372
122.9,-0.06521300000000001
122.933333,-0.0457348
122.966667,-0.008745800000000001
123.0,0.0463104
123.033333,0.11392300000000002
123.066667,0.1818748
123.1,0.233692
123.133333,0.2538606
123.166667,0.23363080000000006
123.2,0.1747486
123.233333,0.08922
123.266667,-0.0051852
123.3,-0.0917656
123.333333,-0.16042220000000001
123.366667,-0.20891700000000002
123.4,-0.23976619999999998
123.433333,-0.255388
123.466667,-0.2547332
123.5,-0.23336620000000002
123.533333,-0.186912
123.566667,-0.11579600000000001
123.6,-0.028252600000000003
123.633333,0.0605722
123.666667,0.1333534
123.7,0.17700180000000001
123.733333,0.18766960000000002
123.766667,0.17165720000000004
123.8,0.14150540000000003
123.833333,0.1093392
123.866667,0.0812574
123.9,0.0557798
123.933333,0.026954000000000002
123.966667,-0.0097158
124.0,-0.05190560000000001
124.033333,-0.089202
124.066667,-0.1073894
124.1,-0.09607820000000002
124.133333,-0.05500240000000001
124.166667,0.0047746
124.2,0.0650238
124.233333,0.1073432
124.266667,0.11979340000000002
124.3,0.10074420000000002
124.333333,0.058575
124.366667,0.007483999999999999
124.4,-0.0384602
124.433333,-0.070108
124.466667,-0.08502820000000001
124.5,-0.0862606
124.533333,-0.07913500000000001
124.566667,-0.06791760000000001
124.6,-0.054083200000000005
124.633333,-0.03699179999999999
124.666667,-0.016022199999999997
124.7,0.0076273999999999995
124.733333,0.0305066
124.766667,0.0478414
124.8,0.0553358
124.833333,0.0511018
124.866667,0.0366856
124.9,0.016525
124.933333,-0.0037260000000000006
124.966667,-0.018984800000000003
125.0,-0.0261018
125.033333,-0.0246736
125.066667,-0.017039
125.1,-0.007235
125.133333,0.0006232
125.166667,0.0037396
125.2,0.0014552
125.233333,-0.004515400000000001
125.266667,-0.010621600000000002
125.3,-0.012908400000000002
125.333333,-0.0087396
125.366667,0.002098
125.4,0.0172548
125.433333,0.032491000000000006
125.466667,0.0430616
125.5,0.045530400000000006
125.533333,0.039107600000000006
125.566667,0.025687400000000003
125.6,0.0088028
125.633333,-0.007582200000000001
125.666667,-0.019994200000000004
125.7,-0.026173400000000006
125.733333,-0.025516800000000006
125.766667,-0.019043200000000003
125.8,-0.0090598
125.833333,0.0011779999999999998
125.866667,0.0080168
125.9,0.0084596
125.933333,0.0013632
125.966667,-0.012014799999999999
126.0,-0.0283366
126.033333,-0.04308620000000001
126.066667,-0.051805000000000004
126.1,-0.0514768
126.133333,-0.0414746
126.166667,-0.023522800000000003
126.2,-0.0008836000000000001
126.233333,0.022580799999999998
126.266667,0.043191400000000005
126.3,0.0581384
126.333333,0.0658672
126.366667,0.06596700000000001
126.4,0.058887600000000005
126.433333,0.0459378
126.466667,0.0293616
126.5,0.0119696
126.533333,-0.0035987999999999997
126.566667,-0.015494399999999998
126.6,-0.023001000000000004
126.633333,-0.026723599999999997
126.666667,-0.0283764
126.7,-0.029963000000000004
126.733333,-0.0328004
126.766667,-0.037061
126.8,-0.0419184
126.833333,-0.045841200000000006
126.866667,-0.04695300000000001
126.9,-0.0436224
126.933333,-0.0351144
126.966667,-0.0219928
127.0,-0.006256599999999999
127.033333,0.0087312
127.066667,0.018932400000000002
127.1,0.0212682
127.133333,0.0155816
127.166667,0.005688800000000001
127.2,-0.0012216
127.233333,0.0031868000000000005
127.266667,0.024964200000000002
127.3,0.06426280000000001
127.333333,0.11345140000000002
127.366667,0.1586348
127.4,0.1844364
127.433333,0.17991740000000003
127.466667,0.142906
127.5,0.0807258
127.533333,0.006824600000000001
127.566667,-0.06508740000000002
127.6,-0.1260572
127.633333,-0.1732516
127.666667,-0.20743980000000004
127.7,-0.22891540000000002
127.733333,-0.23478580000000002
127.766667,-0.2194344
127.8,-0.1780848
127.833333,-0.1114562
127.866667,-0.0284898
127.9,0.0549682
127.933333,0.12134800000000003
127.966667,0.158012
128.0,0.16215300000000002
128.033333,0.1413158
128.066667,0.10905500000000001
128.1,0.07807660000000001
128.133333,0.0546944
128.166667,0.037429199999999996
128.2,0.0200934
